,Actor,Movies
776,Robin Wright Penn,"['The Pledge', 'The Princess Bride', 'State of Grace', ""How to Kill Your Neighbor's Dog"", 'Toys', 'The Singing Detective']"
777,Linda Hunt,"['Dune', 'Pocahontas', 'Dragonfly', 'Popeye']"
778,Wesley Addy,"['Network', 'Tora! Tora! Tora!']"
779,Ewan Stewart,"['Conspiracy', 'Titanic']"
780,Red West,"['The Rainmaker', 'Road House']"
781,Tom Cruise,"['Austin Powers: Goldmember', 'The Firm', 'Endless Love', 'Top Gun', 'Magnolia', 'Minority Report', 'Collateral', 'Legend', 'Mission: Impossible', 'Mission: Impossible II', 'War of the Worlds', 'Cocktail']"
782,Jeff Morrow,"['Kronos', 'This Island Earth']"
783,Jessie Royce Landis,"['My Foolish Heart', 'The Swan', 'To Catch a Thief']"
784,Norman Wooland,"['Quo Vadis', 'Hamlet']"
785,Murray Hamilton,"['Jaws', '1941']"
786,Max von Sydow,"['Exorcist II: The Heretic', 'What Dreams May Come', 'The Exorcist', 'Dune', 'Dreamscape', 'Minority Report']"
787,Glenda Jackson,"['Hopscotch', 'Women in Love', 'Hedda', 'Mary, Queen of Scots']"
788,Huang Wenyong,['Homerun']
789,Kim Greist,"['C.H.U.D.', 'Manhunter', 'Brazil']"
790,Arthur O'Connell,"['The Poseidon Adventure', 'Bus Stop']"
791,Rudolf Klein-Rogge,"['Metropolis', 'Das Testament des Dr. Mabuse']"
792,Mariska Hargitay,"['Lake Placid', ""Mighty Morphin' Power Rangers: The Movie""]"
793,Curtis Armstrong,"['Revenge of the Nerds IV: Nerds in Love', 'Revenge of the Nerds II: Nerds in Paradise', 'Ray', 'Revenge of the Nerds III: The Next Generation']"
794,Sandra Bullock,"['The Net', 'Demolition Man', 'Speed 2: Cruise Control', 'Speed']"
795,Mandy Patinkin,"['Alien Nation', 'The Princess Bride', 'Impromptu']"
796,George Takei,"['Star Trek V: The Final Frontier', 'Star Trek: The Motion Picture', 'Star Trek IV: The Voyage Home', 'Star Trek II: The Wrath of Khan', 'The Green Berets', 'Star Trek III: The Search for Spock', 'Star Trek VI: The Undiscovered Country']"
797,Denis Leary,"['Ice Age', 'Judgment Night', 'Monument Ave.', 'Demolition Man', ""A Bug's Life""]"
798,Rick Gonzalez,"['War of the Worlds', 'Old School']"
799,Ray Romano,"['Ice Age', 'Eulogy']"
800,Peter Fonda,"['Easy Rider', 'Dirty Mary, Crazy Larry', ""John Carpenter's Escape from L.A."", ""Ulee's Gold"", 'The Trip']"
801,Luke Wilson,"['Bottle Rocket', 'Committed', 'Anchorman: The Legend of Ron Burgundy', 'Legally Blonde 2: Red, White & Blonde', ""Charlie's Angels: Full Throttle"", 'Bongwater', 'My Dog Skip', 'Old School', 'Dog Park', 'Home Fries', 'Alex & Emma', 'Blue Streak']"
802,Kylie Minogue,"['Street Fighter', 'The Delinquents', 'Moulin Rouge!']"
803,Joe Don Baker,"['Congo', 'Cape Fear', 'Criminal Law']"
804,Bette Davis,"['Now, Voyager', 'Dangerous', ""Dead Men Don't Wear Plaid"", 'The Star', 'The Letter', 'Juarez', 'Jezebel', 'The Nanny']"
805,Artie Lange,"['Dirty Work', 'Old School', 'Elf']"
806,Maureen O'Sullivan,"['The Thin Man', 'A Day at the Races', 'Personal History, Adventures, Experience, and Observation of David Copperfield the Younger']"
807,Jason Marin,['The Little Mermaid']
808,Margaret Dumont,"['Animal Crackers', 'Saps at Sea']"
809,Stephen Dillane,"['King Arthur', 'Hamlet']"
810,Ciaran Hinds,"['Lara Croft Tomb Raider: The Cradle of Life', 'Veronica Guerin', 'The Phantom of the Opera']"
811,Roscoe Karns,"['Wings', 'Twentieth Century']"
812,Claudia Schiffer,['Black and White']
813,Vin Diesel,"['The Chronicles of Riddick: Dark Fury', 'XXX', 'Boiler Room', 'The Fast and the Furious']"
814,Isabella Rossellini,"['Merlin', 'Wild at Heart', 'The Funeral', 'Immortal Beloved', 'Cousins', 'Fearless']"
815,Jesse Bradford,"['My Blue Heaven', 'Romeo + Juliet', 'Eulogy', 'Bring It On', 'Hackers', 'King of the Hill']"
816,Josh Charles,"['The Grave', ""Don't Tell Mom the Babysitter's Dead"", 'S.W.A.T.']"
817,Richard Anderson,"['Tora! Tora! Tora!', 'Gettysburg']"
818,Douglas Wilmer,"['Jason and the Argonauts', 'El Cid', 'Richard III', 'The Fall of the Roman Empire']"
819,Bill Goldberg,"['Looney Tunes: Back in Action', ""Santa's Slay""]"
820,George C. Scott,"['Angus', 'Hardcore', 'Patton', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'The Hindenburg']"
821,John Getz,"[""Don't Tell Mom the Babysitter's Dead"", 'The Fly']"
822,Warwick Davis,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Willow', 'Caravan of Courage: An Ewok Adventure', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Ewoks: The Battle for Endor', ""The Hitchhiker's Guide to the Galaxy"", 'Harry Potter and the Half-Blood Prince']"
823,Corey Haim,"[""National Lampoon's Last Resort"", 'Lucas']"
824,Robert Culp,"[""Santa's Slay"", 'PT 109', 'Bob & Carol & Ted & Alice']"
825,Jane Withers,"['The Hunchback of Notre Dame', 'Bright Eyes']"
826,Alice Playten,"[""Doug's 1st Movie"", 'Legend']"
827,David Arkin,"['Nashville', 'MASH']"
828,Robert Carlyle,"['Trainspotting', 'Eragon']"
829,James Fox,"['Charlie and the Chocolate Factory', 'Greystoke - The Legend of Tarzan, Lord of the Apes', 'King Rat', 'Performance']"
830,Bonnie Wright,"['Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Goblet of Fire']"
831,Walt Disney,"[""Donald's Cousin Gus"", 'Fantasia']"
832,Martin Landau,"['The Adventures of Pinocchio', 'Rounders', 'Ed Wood', 'The X Files', 'City Hall', ""By Dawn's Early Light"", 'Tucker: The Man and His Dream']"
833,Skye McCole Bartusiak,"['Boogeyman', ""Don't Say a Word""]"
834,Cole Hauser,"['Dazed and Confused', 'Paparazzi', ""Hart's War""]"
835,Jackie Earle Haley,"[""All the King's Men"", 'Bad News Bears']"
836,Kevin Conroy,"['Batman Beyond: Return of the Joker', 'Batman & Mr. Freeze: SubZero', 'Batman: Mystery of the Batwoman', 'Batman: Mask of the Phantasm']"
837,Dorian Harewood,"['Levity', 'Glitter', 'Assault on Precinct 13']"
838,Michael Winslow,"['Police Academy 2: Their First Assignment', 'Police Academy']"
839,Natalia Tena,"['Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
840,Kim Coates,"['Assault on Precinct 13', 'Hostage', 'The Island']"
841,Brian Keith,"['The Russians Are Coming, the Russians Are Coming', 'Meteor', 'Hooper']"
842,Margaret Sheridan,"['The Thing', 'I, the Jury']"
843,Chuck Norris,"['Invasion U.S.A.', 'Dodgeball: A True Underdog Story']"
844,Jeffrey Kramer,"['Jaws', 'Clue']"
845,Edward Norton,"['Red Dragon', 'Rounders', 'The Score', 'Primal Fear', 'Kingdom of Heaven', 'Fight Club', '25th Hour', 'The People vs. Larry Flynt']"
846,Tatum O'Neal,"['Paper Moon', 'Bad News Bears']"
847,Martin Scorsese,"['Dreams', 'Round Midnight']"
848,Veronica Lake,"[""Sullivan's Travels"", ""Dead Men Don't Wear Plaid"", 'So Proudly We Hail!']"
849,Kiefer Sutherland,"['Freeway', 'Promised Land', 'The Vanishing', '1969', 'Phone Booth', ""Mickey's Twice Upon a Christmas"", 'Twin Peaks: Fire Walk With Me', 'Stand by Me', 'Taking Lives']"
850,Kurtwood Smith,"['Star Trek VI: The Undiscovered Country', 'Deep Impact']"
851,James Spader,"['Wolf', 'sex, lies and videotape', 'True Colors', 'Endless Love', 'Wall Street', 'Secretary', 'Mannequin', 'Stargate']"
852,Derek Jacobi,"['Henry V', 'Underworld: Evolution', 'Hamlet', 'Little Dorrit']"
853,David Johansen,"['Mr. Nanny', 'Tales from the Darkside: The Movie']"
854,Bill Duke,"['Predator', 'Commando', 'Car Wash']"
855,Emil Jannings,"['The Last Command', 'Faust', 'The Way of All Flesh']"
856,Joseph Cotten,"['Dr. Phibes Rises Again', ""The Farmer's Daughter"", 'Tora! Tora! Tora!', ""Heaven's Gate"", 'Love Letters']"
857,Viveka Davis,"['PCU', ""Morgan Stewart's Coming Home""]"
858,Marisa Tomei,"['Anger Management', 'The Guru', 'Someone Like You', 'Chaplin', 'Alfie']"
859,Elias Koteas,"['Exotica', 'Fallen', 'The Thin Red Line', 'Ararat', ""Look Who's Talking Too"", 'Collateral Damage', 'Tucker: The Man and His Dream']"
860,Haing S. Ngor,"['The Killing Fields', 'Heaven & Earth']"
861,Ava Gardner,"['Earthquake', ""Dead Men Don't Wear Plaid"", 'Show Boat']"
862,Treat Williams,"[""The Devil's Own"", '1941', 'Hair']"
863,Sergio Castellitto,"[""Don't Move"", 'Mostly Martha']"
864,Jack O'Halloran,"['King Kong', 'Superman']"
865,Don Ameche,"['Homeward Bound: The Incredible Journey', ""Alexander's Ragtime Band"", 'Cocoon: The Return', 'Heaven Can Wait', 'Cocoon']"
866,Shawnee Smith,"['Armageddon', 'Saw', 'Summer School', 'The Island', ""Who's Harry Crumb?""]"
867,Forest Whitaker,"['Platoon', 'Species', 'Phenomenon', 'Ghost Dog: The Way of the Samurai', 'Phone Booth', 'Bloodsport', 'Panic Room']"
868,Stephen Fry,"['Wilde', 'Whatever Happened to Harold Smith?', ""The Hitchhiker's Guide to the Galaxy"", ""Peter's Friends"", 'Blackadder: Back & Forth']"
869,Christian Slater,"['Austin Powers: International Man of Mystery', 'The Contender', 'Broken Arrow', 'Tucker: The Man and His Dream', 'Pump Up the Volume', 'The Wizard', 'Tales from the Darkside: The Movie', 'Alone in the Dark', 'Churchill: The Hollywood Years', 'Robin Hood: Prince of Thieves']"
870,Nigel Davenport,"['Greystoke - The Legend of Tarzan, Lord of the Apes', 'Caravaggio', 'Mary, Queen of Scots', 'Peeping Tom']"
871,Keira Knightley,"['The Hole', 'Star Wars Episode I: The Phantom Menace', 'King Arthur', ""Pirates of the Caribbean: Dead Man's Chest"", 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Domino']"
872,Miriam Hopkins,"['Becky Sharp', 'Dr. Jekyll and Mr. Hyde']"
873,Kathleen Turner,"[""Prizzi's Honor"", 'The War of the Roses']"
874,Sally Field,"['Homeward Bound: The Incredible Journey', 'Where the Heart Is', 'Hooper', 'Legally Blonde 2: Red, White & Blonde', ""Murphy's Romance"", 'Sybil']"
875,Corey Burton,"[""Mickey's Twice Upon a Christmas"", 'Robotix', 'Atlantis: The Lost Empire', ""Atlantis: Milo's Return""]"
876,Jennifer Garner,"['Daredevil', 'Aftershock: Earthquake in New York', 'Elektra', ""Dude, Where's My Car?"", 'Pearl Harbor']"
877,Djimon Hounsou,"['Eragon', 'Lara Croft Tomb Raider: The Cradle of Life', 'Amistad', 'Constantine', 'The Island']"
878,Tony Leung Ka-Fai,"[""Zhou Yu's Train"", 'Double Vision']"
879,David Kelly,"['Into the West', 'Charlie and the Chocolate Factory']"
880,Henry Hull,"['Lifeboat', 'Boys Town', 'Three Comrades']"
881,Dave Thomas,"['Rat Race', ""Santa's Slay"", 'Boris and Natasha']"
882,Teri Garr,"['Batman Beyond: Return of the Joker', 'Ghost World', 'The Black Stallion', 'After Hours', 'Roustabout', 'Dick', 'Dumb & Dumber', 'Head']"
883,Caroline Goodall,"[""Schindler's List"", 'Hook', 'Cliffhanger', 'The Princess Diaries']"
884,Rupert Everett,"['Dance with a Stranger', ""My Best Friend's Wedding""]"
885,Patton Oswalt,"['Blade: Trinity', 'Ratatouille']"
886,Alan Napier,"['Marnie', 'Batman']"
887,Anton Rodgers,"['Scrooge', 'Dirty Rotten Scoundrels', 'Impromptu']"
888,Dana Delany,"['Tombstone', 'Batman: Mask of the Phantasm']"
889,Terence Stamp,"['Elektra', 'Star Wars Episode I: The Phantom Menace', 'The Adventures of Priscilla, Queen of the Desert', 'The Haunted Mansion', 'Wall Street', 'Alien Nation', 'The Real McCoy', 'Superman', 'Red Planet']"
890,Groucho Marx,"['Room Service', 'Animal Crackers', 'Saps at Sea', 'Will Success Spoil Rock Hunter?', 'A Night at the Opera', 'A Day at the Races', 'Monkey Business']"
891,Georges Wilson,['The Stranger']
892,Lukas Haas,"['Testament', 'Witness', 'Music Box']"
893,Laura Linney,"['Mystic River', 'Congo', 'Kinsey', 'Primal Fear', 'P.S.']"
894,Donald Faison,"['Josie and the Pussycats', ""Can't Hardly Wait""]"
895,Alan Ladd,"[""Dead Men Don't Wear Plaid"", 'Hitler, Beast of Berlin']"
896,Christopher Plummer,"['Darkness', 'Battle of Britain', 'Wolf', 'Aces High', 'National Treasure', 'Somewhere in Time', 'Ararat', 'The Fall of the Roman Empire', 'Waterloo', 'Dreamscape', 'The Gospel of John', 'Alexander', 'The Insider', 'Malcolm X', 'Jesus of Nazareth', 'Star Trek VI: The Undiscovered Country']"
897,Meg Ryan,"['Promised Land', 'French Kiss', 'The Doors', 'Anastasia', 'Armed and Dangerous', 'Kate & Leopold', 'Top Gun', ""You've Got Mail"", 'When a Man Loves a Woman', 'Restoration', 'Addicted to Love']"
898,Evanna Lynch,"['Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
899,Will Ferrell,"['Austin Powers:The Spy Who Shagged Me', 'Anchorman: The Legend of Ron Burgundy', 'Old School', 'Elf']"
900,Aldo Ray,"['Battle Cry', 'The Green Berets']"
901,Jeffrey Hunter,"['The Searchers', 'King of Kings']"
902,Jerry Haleva,"['Live from Baghdad', 'Hot Shots! Part Deux']"
903,Gig Young,"[""They Shoot Horses, Don't They?"", 'The Hindenburg', ""Teacher's Pet""]"
904,Richard Jordan,"['Dune', 'Romero', 'Posse', 'Gettysburg']"
905,Orangey,"[""Breakfast at Tiffany's"", 'This Island Earth']"
906,Marcia Gay Harden,"['Pollock', ""Miller's Crossing"", 'Mystic River', 'Crush']"
907,R.G. Armstrong,"['Dick Tracy', 'El Dorado']"
908,Michael Palin,"['The Rutles', 'Brazil', 'Jabberwocky']"
909,Toni Collette,"['Shaft', ""Muriel's Wedding""]"
910,Ewen Bremner,"['Trainspotting', 'AVP: Alien vs. Predator', 'Pearl Harbor']"
911,Randy Quaid,"[""National Lampoon's Christmas Vacation"", ""What's Up, Doc?"", 'Midnight Express', 'Independence Day', 'Paper Moon', 'Vacation', 'Category 6: Day of Destruction']"
912,Ben Stiller,"['Black and White', 'Heavy Weights', 'Anchorman: The Legend of Ron Burgundy', 'Orange County', 'Madagascar', 'Dodgeball: A True Underdog Story', ""There's Something About Mary"", 'Starsky & Hutch']"
913,Sylvester Stallone,"['F.I.S.T', 'Cliffhanger', 'Cobra', 'Bananas', 'Demolition Man', 'Daylight', 'An Alan Smithee Film: Burn Hollywood Burn', 'Rambo: First Blood Part II']"
914,Sophia Loren,"[""Bocaccio '70"", 'Quo Vadis', 'El Cid', 'The Fall of the Roman Empire']"
915,Masaharu Sato,"['Burn Up!! A Close, Intense, Super-Fierce Battle', 'Rebirth of Fusion!! Goku and Vegeta!!']"
916,Ethan Embry,"['That Thing You Do!', 'Sweet Home Alabama', ""Can't Hardly Wait"", 'Timeline']"
917,Mandy Moore,"['Rapunzel', 'Saved!', 'The Princess Diaries']"
918,Wendy Crewson,"['Air Force One', 'At the End of the Day: The Sue Rodriguez Story', 'The Good Son']"
919,David Field,['Chopper']
920,Andrew Wilson,"['Bottle Rocket', 'The Big Bounce', 'Rushmore']"
921,Tony Plana,"['Romero', 'Â¡Three Amigos!', 'Salvador', 'El Norte']"
922,Oliver Reed,"['Women in Love', ""I'll Never Forget What's 'Isname"", 'Castaway', 'Tommy', 'The Devils']"
923,Marla Sokoloff,"['Sugar & Spice', ""Dude, Where's My Car?"", 'The Baby-Sitters Club']"
924,George Dzundza,"['No Way Out', 'The Beast', 'Crimson Tide']"
925,Amrish Puri,"['Gandhi', 'Dilwale Dulhaniy Le Jayenge']"
926,Walter Abel,"['Fury', 'Holiday Inn', 'So Proudly We Hail!']"
927,Trevor Howard,"[""Von Ryan's Express"", ""Ryan's Daughter"", 'Battle of Britain']"
928,Richard Romanus,"['Heavy Metal', 'Wizards']"
929,Heather Locklear,"['Looney Tunes: Back in Action', ""Wayne's World 2""]"
930,Harold Perrineau Jr.,"['The Edge', 'Romeo + Juliet']"
931,Richard Moll,"[""But I'm a Cheerleader"", 'The Flintstones', 'Caveman']"
932,Guy Pearce,"['Rules of Engagement', 'The Adventures of Priscilla, Queen of the Desert', 'The Count of Monte Cristo']"
933,Martin Sheen,"['The American President', ""Hearts of Darkness: A Filmmakers's Apocalypse"", 'Enigma', 'Gettysburg', 'Wall Street', 'Badlands', 'O', 'Monument Ave.', 'Spawn', 'Gandhi', 'The Dead Zone', 'The War at Home']"
934,Fay Wray,"['Viva Villa!', 'Thunderbolt', 'King Kong']"
935,Paul Dillon,"['Austin Powers: International Man of Mystery', 'Blink']"
936,Bobby Di Cicco,"['1941', 'Splash', 'The Philadelphia Experiment']"
937,Joan Weldon,['Them!']
938,Michael Ironside,"['Starship Troopers', 'Top Gun']"
939,Ian McNeice,"['White Noise', 'Ace Ventura: When Nature Calls', 'Conspiracy', 'Around the World in 80 Days', 'Dune', 'Children of Dune']"
940,Harry Morgan,"['Strategic Air Command', 'State Fair', 'How the West Was Won']"
941,Delroy Lindo,"['Gone in Sixty Seconds', 'Broken Arrow', 'Heist', 'Ransom', 'Sahara', ""The Devil's Advocate"", 'Domino', 'Malcolm X', 'The One']"
942,Mary Beth Hurt,"['Affliction', 'Six Degrees of Separation']"
943,Freddie Highmore,"['The Golden Compass', 'Charlie and the Chocolate Factory']"
944,David Manners,"['Dracula', 'The Mummy']"
945,Marlee Matlin,"['Walker', 'What the #$*! Do We Know!?']"
946,Derek Lamb,['Ryan']
947,Adriano Giannini,"['Sinbad: Legend of the Seven Seas', 'Swept Away']"
948,Michael O'Hare,"['C.H.U.D.', 'Babylon 5: The Gathering']"
949,Henry Travers,"['Madame Curie', ""It's a Wonderful Life""]"
950,Brian McCardie,"['Speed 2: Cruise Control', 'Rob Roy']"
951,Alyson Stoner,"['Garfield', 'Cheaper by the Dozen']"
952,Liam Aiken,"[""Lemony Snicket's A Series of Unfortunate Events"", 'Good Boy!']"
953,Wesley Snipes,"['To Wong Foo, Thanks for Everything! Julie Newmar', 'Blade: Trinity', 'Blade', 'Demolition Man', 'Major League', ""Mo' Better Blues""]"
954,Carroll Baker,"['Giant', 'How the West Was Won']"
955,Karen Black,"['Easy Rider', 'Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean']"
956,Kimberly Williams,"['The War at Home', 'Father of the Bride']"
957,Joanne Woodward,"['Mr. & Mrs. Bridge', 'Summer Wishes, Winter Dreams', 'Sybil', 'Philadelphia']"
958,Vincent Price,"['Laura', 'Dr. Phibes Rises Again', 'The Song of Bernadette', 'Wilson', 'House of Wax', 'The Fly', 'The Raven', ""Dead Men Don't Wear Plaid"", 'Shock', 'Witchfinder General']"
959,Nikolai Grinko,"['Andrei Rublev', 'Stalker', 'Solaris']"
960,Leon Niemczyk,"['Heroism', 'Knife in the Water']"
961,Britt Ekland,"['Scandal', 'Percy']"
962,Toshio Furukawa,"['Burn Up!! A Close, Intense, Super-Fierce Battle', 'Clash!! 10,000,000,000 Powerful Warriors', 'Dead Zone']"
963,Brendan Fraser,"['Bedazzled', 'Looney Tunes: Back in Action', 'The Mummy', 'Dogfight']"
964,Mark Williams,"['Harry Potter and the Goblet of Fire', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban']"
965,Jeremy Blackman,['Magnolia']
966,Bruce Cabot,"['Dodge City', 'Fury', 'King Kong', 'The Green Berets']"
967,Otto Wernicke,"['M', 'Das Testament des Dr. Mabuse', 'Kolberg']"
968,Steve Forrest,"['Sahara', 'The Longest Day']"
969,Tayva Patch,['Brigham City']
970,Isaac Hayes,"[""I'm Gonna Git You Sucka"", 'Flipper', 'South Park: Bigger, Longer & Uncut', 'Robin Hood: Men in Tights']"
971,Liev Schreiber,"['The Hurricane', 'Kate & Leopold', 'Party Girl', 'Scream', 'Sphere', 'Hamlet', 'The Manchurian Candidate']"
972,John Hodiak,"['Lifeboat', 'Battleground']"
973,Vincent Gallo,"[""Buffalo '66"", 'The Funeral']"
974,Rade Serbedzija,"['The Saint', 'Stigmata', 'Snatch']"
975,Steve Buscemi,"[""Miller's Crossing"", 'Pulp Fiction', 'Ghost World', 'Desperado', 'Armageddon', 'Final Fantasy: The Spirits Within', ""John Carpenter's Escape from L.A."", 'Fargo', 'Tales from the Darkside: The Movie', 'Big Daddy', 'The Island']"
976,Jeff Daniels,"['Something Wild', 'Cheaters', 'Arachnophobia', 'Gettysburg', 'Welcome Home, Roxy Carmichael', 'Dumb & Dumber', 'Speed']"
977,Joseph Mazzello,"['Radio Flyer', 'Jurassic Park']"
978,Nathan Lane,"[""The Lion King II: Simba's Pride"", 'The Lion King 1Â½', 'Win a Date with Tad Hamilton!', ""Love's Labour's Lost""]"
979,Henry Thomas,"['Cloak & Dagger', 'E.T. the Extra-Terrestrial']"
980,Dana Barron,"['Vacation', 'Python']"
981,Annette O'Toole,"['Cat People', 'It', 'The Dreamer of Oz: The L. Frank Baum Story']"
982,Andre Braugher,"['Primal Fear', 'Glory', 'Frequency']"
983,Troy Garity,"['Barbershop 2: Back in Business', 'Barbershop']"
984,Warren Beatty,"['Shampoo', 'Heaven Can Wait', 'Ishtar', 'McCabe & Mrs. Miller', 'Dick Tracy', 'Bonnie and Clyde']"
985,Mo'Nique Imes-Jackson,"['Baby Boy', 'Domino']"
986,Rachael Leigh Cook,"['Josie and the Pussycats', 'Batman Beyond: Return of the Joker', 'The Baby-Sitters Club', 'Antitrust', 'Final Fantasy VII: Advent Children', ""She's All That""]"
987,Lloyd Bridges,"['Hot Shots!', 'Hot Shots! Part Deux', 'Honey, I Blew Up the Kid', 'Sahara', 'Airplane!', 'Cousins', 'Tucker: The Man and His Dream']"
988,Doris Belack,"[""Doug's 1st Movie""]"
989,Arthur Jasmine,['Salome']
990,Gene Wilder,"['Silver Streak', 'The Producers', 'Willy Wonka & the Chocolate Factory', 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)']"
991,Larry Bryggman,"['...And Justice for All', 'Die Hard: With a Vengeance']"
992,Craig Kilborn,"['Cursed', 'Old School']"
993,Amy Irving,"['Micki + Maude', 'Hide and Seek', 'An American Tail: Fievel Goes West']"
994,Christina Ricci,"['Casper', 'Cursed', 'Mermaids', ""Buffalo '66"", 'Sleepy Hollow', 'Monster']"
995,Ingrid Thulin,"['Wild Strawberries', 'The Damned']"
996,Timothy Bateson,"['Harry Potter and the Order of the Phoenix', 'Labyrinth']"
997,Drea de Matteo,"['Assault on Precinct 13', 'Prey for Rock & Roll']"
998,Ulla Jacobsson,['Zulu']
999,Chad Everett,"['Mulholland Drive', 'Fever Pitch']"
1000,John Hurt,"['The Elephant Man', '1984', 'The Lord of the Rings', 'Contact', ""Harry Potter and the Philosopher's Stone"", 'The Osterman Weekend', 'Scandal', 'Midnight Express', 'Watership Down', ""Heaven's Gate"", 'Rob Roy', 'The Black Cauldron']"
1001,Thomas G. Waites,"['...And Justice for All', ""John Carpenter's The Thing"", 'The Clan of the Cave Bear']"
1002,Jean-Louis Trintignant,"['Z', 'The Libertine', 'And God Created Woman', 'Three Colors: Red']"
1003,Dwight Frye,"['Dracula', 'Frankenstein']"
1004,Brian Blessed,"['Henry V', 'Hamlet', 'Robin Hood: Prince of Thieves', 'Alexander']"
1005,Hazel Brooks,['Body and Soul']
1006,Remak Ramsay,"['Mr. & Mrs. Bridge', 'Addicted to Love']"
1007,Patrick Warburton,"[""The Emperor's New Groove"", 'Chicken Little']"
1008,Emily Watson,"['Red Dragon', 'Equilibrium']"
1009,Stuart Buchanan,"[""Donald's Cousin Gus"", 'Snow White and the Seven Dwarfs']"
1010,Carroll O'Connor,"[""Kelly's Heroes"", 'Point Blank']"
1011,Gene Barry,"['The War of the Worlds', 'War of the Worlds']"
1012,Harry Shearer,"['Godzilla', 'Chicken Little']"
1013,Alexis Arquette,"['Of Mice and Men', ""She's All That""]"
1014,Julia Stiles,"['O', 'The Bourne Supremacy', 'Hamlet', 'The Bourne Identity']"
1015,Sheryl Lee,"['Vampires', 'Twin Peaks: Fire Walk With Me', 'Wild at Heart']"
1016,Shaun Benson,"['K-19: The Widowmaker', 'Name of the Rose']"
1017,Method Man,"['Garden State', 'Black and White']"
1018,Kenji Sawada,"['Mishima: A Life in Four Chapters', 'Taiyo\x8d o Nusunda Otoko']"
1019,Callum Blue,"[""Devil's Gate"", 'The Princess Diaries 2: Royal Engagement']"
1020,Harland Williams,"[""There's Something About Mary"", 'Dumb & Dumber', 'Robots']"
1021,Charles Cyphers,"['Assault on Precinct 13', ""John Carpenter's The Fog"", 'Halloween', 'Major League']"
1022,Polly Bergen,"['Cape Fear', 'Making Mr. Right']"
1023,George Eastman,"['King David', 'Anthropophagous']"
1024,Melora Walters,"['Magnolia', 'Cabin Boy', 'Cold Mountain']"
1025,Jason Patric,"['The Alamo', 'Sleepers', 'Speed 2: Cruise Control', 'The Beast']"
1026,David Graf,"['Police Academy 2: Their First Assignment', 'Police Academy']"
1027,Gretchen Mol,"['Rounders', 'Picnic', 'The Funeral']"
1028,Zach Galligan,"['Nothing Lasts Forever', 'Gremlins 2: The New Batch']"
1029,Tara Strong,"['Batman: Mystery of the Batwoman', 'Batman Beyond: Return of the Joker', 'The Little Mermaid II: Return to the Sea', 'Rugrats in Paris: The Movie']"
1030,Brian Aherne,"['The Swan', 'I Confess', 'Titanic', ""Smilin' Through"", 'Juarez']"
1031,Masami Nagasawa,"['Godzilla: Final Wars', 'Godzilla: Tokyo SOS']"
1032,John Kassir,"['Pocahontas', 'Tales from the Crypt presents: Demon Knight']"
1033,Cloris Leachman,"['Laputa: Castle in the Sky', 'Alex & Emma', ""My Boyfriend's Back"", 'Spanglish']"
1034,Jeffrey Donovan,['Book of Shadows: Blair Witch 2']
1035,Francoise Dorlac,"['Cul-de-Sac', ""L'Homme de Rio""]"
1036,Richard Widmark,"['Warlock', 'Backlash', 'How the West Was Won', 'The Alamo', 'Kiss of Death']"
1037,Arthur J. Nascarella,['Happiness']
1038,Megan Cavanagh,"['Jimmy Neutron: Boy Genius', 'Robin Hood: Men in Tights']"
1039,Dana Hill,"['Tom and Jerry: The Movie', 'Cross Creek']"
1040,Willie Nelson,"['Thief', 'The Big Bounce', 'The Dukes of Hazzard']"
1041,Jeanne Moreau,"['Hotel Terminus: The Life and Times of Klaus Barbie', 'Les liaisons dangereuses', 'The Last Tycoon']"
1042,Howard Rollins,"['Ragtime', ""A Soldier's Story""]"
1043,Sally Kirkland,"['JFK', 'Anna']"
1044,Jonathan Jackson,"['Riding the Bullet', 'Dirty Dancing']"
1045,Richard Chamberlain,"['Shogun', 'Lady Caroline Lamb', 'The Count of Monte Cristo']"
1046,River Phoenix,"['Sneakers', 'Running on Empty', 'Stand by Me', 'Dogfight']"
1047,Lucille Bliss,"['Cinderella', 'Robots']"
1048,Scott Baio,"['Cursed', 'SuperBabies: Baby Geniuses 2']"
1049,Robert Loggia,"['Jagged Edge', 'Armed and Dangerous', 'Independence Day', 'Scarface', ""Prizzi's Honor"", 'S.O.B.']"
1050,Pam Grier,"['Above the Law', 'Foxy Brown', 'Posse', 'Jackie Brown', 'Holy Smoke!']"
